#1 AntPos X;#2 AntPos Y;#3 Distance form nest;#4 Total Distance;#5 Total Y Distance
-8.39678;-5.40412;9.98552;0.196938;-0.143797
-8.5501;-5.55808;10.1979;0.414162;-0.297754
-8.69241;-5.70902;10.3996;0.621602;-0.448694
-8.82566;-5.8569;10.5922;0.820588;-0.596576
-8.95614;-6.00953;10.7855;1.02119;-0.749199
-9.08669;-6.16022;10.978;1.22047;-0.89989
-9.20289;-6.33433;11.1722;1.42771;-1.07401
-9.27959;-6.52851;11.346;1.62583;-1.26818
-9.39139;-6.7031;11.5382;1.83211;-1.44277
-9.49802;-6.87097;11.7227;2.03012;-1.61064
-9.62143;-7.03333;11.918;2.23405;-1.773
-9.75276;-7.19512;12.1197;2.44236;-1.93479
-9.89986;-7.34381;12.3263;2.65005;-2.08348
-10.0398;-7.48149;12.5208;2.84491;-2.22117
-10.1802;-7.6217;12.7172;3.04216;-2.36137
-10.3264;-7.76869;12.9224;3.24853;-2.50837
-10.4667;-7.91141;13.1203;3.44787;-2.65109
-10.6055;-8.05749;13.3192;3.649;-2.79716
-10.7431;-8.20235;13.5164;3.8484;-2.94202
-10.8874;-8.36049;13.7271;4.06232;-3.10016
-11.0099;-8.49147;13.9041;4.24149;-3.23115
-11.143;-8.63489;14.0971;4.43694;-3.37456
-11.2772;-8.78531;14.2954;4.63852;-3.52498
-11.4124;-8.93721;14.4954;4.8418;-3.67689
-11.5423;-9.08192;14.687;5.03625;-3.8216
-11.6782;-9.25626;14.9016;5.25701;-3.99593
-11.7894;-9.38538;15.0691;5.42746;-4.12506
-11.9397;-9.53295;15.2785;5.63727;-4.27262
-12.0774;-9.66546;15.4688;5.8276;-4.40514
-12.2218;-9.79033;15.6596;6.01658;-4.53
-12.3804;-9.93219;15.8721;6.22785;-4.67187
-12.5434;-10.0728;16.0872;6.44118;-4.81248
-12.6944;-10.2034;16.2867;6.63916;-4.94306
-12.8449;-10.3373;16.4879;6.83937;-5.07701
-13.0141;-10.4867;16.7134;7.06369;-5.2264
-13.178;-10.6288;16.9301;7.27906;-5.36845
-13.3243;-10.7607;17.1269;7.47523;-5.50042
-13.474;-10.8902;17.3247;7.67187;-5.62983
-13.6307;-11.0291;17.5338;7.88026;-5.76873
-13.7803;-11.162;17.7338;8.07951;-5.90165
-13.9304;-11.2965;17.9351;8.28034;-6.03618
-14.0796;-11.4355;18.1385;8.4838;-6.17517
-14.2259;-11.57;18.3369;8.68203;-6.30965
-14.3747;-11.7021;18.5357;8.88024;-6.44173
-14.5144;-11.8408;18.7316;9.07703;-6.58045
-14.6572;-11.9825;18.9318;9.27807;-6.72216
-14.7939;-12.1038;19.1144;9.46021;-6.84345
-14.9368;-12.2316;19.306;9.65138;-6.97132
-15.0866;-12.3574;19.5015;9.84584;-7.09711
-15.2379;-12.4869;19.7007;10.0441;-7.22653
-15.4033;-12.6094;19.9062;10.2471;-7.34908
-15.5673;-12.7128;20.0987;10.4357;-7.4525
-15.7371;-12.8193;20.2975;10.6307;-7.55896
-15.9048;-12.926;20.495;10.8246;-7.66564
-16.0744;-13.0248;20.6889;11.0144;-7.76447
-16.2473;-13.1257;20.8868;11.2083;-7.86533
-16.4208;-13.2282;21.0862;11.4039;-7.96784
-16.5758;-13.3058;21.2557;11.5692;-8.04548
-16.7768;-13.4125;21.4792;11.7879;-8.15214
-16.944;-13.518;21.6757;11.9817;-8.2577
-17.0886;-13.6201;21.8524;12.1569;-8.35974
-17.258;-13.7416;22.0607;12.3636;-8.48132
-17.4244;-13.8631;22.2665;12.568;-8.60278
-17.5905;-13.9772;22.4674;12.7671;-8.71686
-17.7486;-14.0865;22.6593;12.9573;-8.82613
-17.9101;-14.1927;22.8518;13.148;-8.93236
-18.1026;-14.2839;23.0594;13.3513;-9.02356
-18.2941;-14.3723;23.2645;13.5523;-9.11199
-18.4782;-14.4541;23.4598;13.7438;-9.19374
-18.6626;-14.5407;23.6585;13.9389;-9.28039
-18.8374;-14.6248;23.8481;14.1254;-9.36443
-19.0127;-14.7569;24.0676;14.3443;-9.49661
-19.1906;-14.8766;24.2816;14.5569;-9.6163
-19.3865;-14.9924;24.5073;14.7805;-9.73206
-19.5732;-15.0841;24.7112;14.9815;-9.82381
-19.7507;-15.1716;24.9051;15.1729;-9.91124
-19.9641;-15.2724;25.1358;15.4005;-10.0121
-20.1315;-15.3631;25.324;15.5867;-10.1028
-20.3098;-15.457;25.5226;15.7834;-10.1966
-20.4837;-15.5598;25.7233;15.9826;-10.2995
-20.6547;-15.6586;25.9193;16.1771;-10.3983
-20.8289;-15.761;26.1199;16.3764;-10.5007
-21.0084;-15.8877;26.3395;16.5954;-10.6274
-21.1725;-16.0043;26.5407;16.7961;-10.744
-21.3355;-16.1088;26.7338;16.9882;-10.8485
-21.5085;-16.218;26.9377;17.1911;-10.9577
-21.6803;-16.3273;27.1407;17.3932;-11.067
-21.8597;-16.4465;27.3557;17.6074;-11.1862
-22.0291;-16.5577;27.5579;17.8089;-11.2973
-22.2187;-16.663;27.7727;18.0223;-11.4026
-22.3873;-16.7632;27.9678;18.2163;-11.5029
-22.5497;-16.8737;28.164;18.412;-11.6134
-22.7061;-17.0006;28.3653;18.6135;-11.7403
-22.8495;-17.1356;28.561;18.8099;-11.8753
-22.996;-17.2743;28.7614;19.011;-12.014
-23.1305;-17.4083;28.9494;19.1999;-12.1479
-23.2611;-17.5593;29.1446;19.3967;-12.299
-23.3896;-17.7066;29.3359;19.5894;-12.4463
-23.5255;-17.8518;29.5319;19.7867;-12.5915
-23.6812;-17.9901;29.7396;19.9949;-12.7298
-23.8286;-18.1246;29.9383;20.1941;-12.8643
-23.9722;-18.2461;30.1262;20.3822;-12.9858
-24.131;-18.3763;30.3314;20.5875;-13.116
-24.296;-18.5147;30.5465;20.8029;-13.2543
-24.4385;-18.6837;30.7623;21.0205;-13.4234
-24.569;-18.8363;30.9588;21.2184;-13.576
-24.6836;-18.9881;31.142;21.4035;-13.7277
-24.7947;-19.1524;31.3303;21.5943;-13.8921
-24.9019;-19.3204;31.518;21.7846;-14.0601
-25.0207;-19.489;31.7152;21.9841;-14.2287
-25.1554;-19.6445;31.9171;22.1875;-14.3842
-25.2847;-19.7896;32.1083;22.38;-14.5293
-25.4178;-19.9403;32.306;22.5791;-14.6799
-25.5557;-20.0901;32.507;22.7812;-14.8297
-25.6869;-20.2443;32.7055;22.9813;-14.984
-25.7744;-20.4174;32.8814;23.1605;-15.157
-25.8755;-20.5927;33.0697;23.3519;-15.3324
-25.9578;-20.7527;33.2337;23.5191;-15.4924
-26.0492;-20.9309;33.4165;23.7054;-15.6706
-26.1415;-21.1221;33.6083;23.9011;-15.8617
-26.2108;-21.3008;33.7747;24.0718;-16.0405
-26.2698;-21.4827;33.9354;24.2371;-16.2224
-26.3099;-21.671;34.0858;24.3932;-16.4107
-26.3524;-21.8615;34.2399;24.553;-16.6011
-26.3994;-22.0472;34.3949;24.7135;-16.7869
-26.4409;-22.2573;34.5617;24.887;-16.997
-26.4851;-22.4681;34.7315;25.0635;-17.2078
-26.5225;-22.6642;34.8871;25.2256;-17.4038
-26.5532;-22.8513;35.0322;25.3772;-17.591
-26.5958;-23.037;35.1858;25.5369;-17.7767
-26.6343;-23.2263;35.339;25.6965;-17.9659
-26.6862;-23.417;35.5036;25.8671;-18.1566
-26.7331;-23.6068;35.6643;26.034;-18.3465
-26.7825;-23.7981;35.8281;26.204;-18.5378
-26.8265;-23.9754;35.9789;26.3607;-18.7151
-26.8491;-24.1671;36.1237;26.513;-18.9068
-26.8925;-24.3553;36.2821;26.6778;-19.095
-26.9505;-24.5583;36.4615;26.8638;-19.2979
-27.0049;-24.7449;36.6276;27.0359;-19.4846
-27.0596;-24.9614;36.8143;27.23;-19.7011
